timestamp,dispositivo,evento,estado_origem,estado_destino
2025-09-15 16:34:18.205630,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 16:39:31.205578,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 16:40:43.661091,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 16:40:43.662828,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-15 19:46:30.054174,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:46:30.054174,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-15 19:50:17.800151,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:51:10.248182,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:51:26.699083,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:51:48.921456,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:51:48.922109,Luz da sala,BRILHO ALTERADO,40,80
2025-09-15 19:51:48.924155,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-15 19:55:02.361475,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:55:02.361475,Luz da sala,BRILHO ALTERADO,40,80
2025-09-15 19:55:02.361475,Luz da sala,COR ALTERADA,CorLuz.FRIA,NEUTRA
2025-09-15 19:55:02.361475,Luz da sala,BRILHO ALTERADO,80,75
2025-09-15 19:55:02.361475,Luz da sala,COR ALTERADA,CorLuz.NEUTRA,QUENTE
2025-09-15 19:55:02.370855,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-15 19:56:29.791195,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 19:56:29.791195,Luz da sala,BRILHO ALTERADO,40,80
2025-09-15 19:56:29.791195,Luz da sala,COR ALTERADA,CorLuz.FRIA,NEUTRA
2025-09-15 19:56:29.791195,Luz da sala,BRILHO ALTERADO,80,75
2025-09-15 19:56:29.791195,Luz da sala,COR ALTERADA,CorLuz.NEUTRA,QUENTE
2025-09-15 19:56:29.791195,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-15 20:08:46.624837,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-15 20:08:46.625854,Luz da sala,BRILHO ALTERADO,40,80
2025-09-15 20:08:46.625854,Luz da sala,COR ALTERADA,CorLuz.FRIA,NEUTRA
2025-09-15 20:08:46.625854,Luz da sala,BRILHO ALTERADO,80,75
2025-09-15 20:08:46.625854,Luz da sala,COR ALTERADA,CorLuz.NEUTRA,QUENTE
2025-09-15 20:08:46.634951,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
,Tomada da sala,LIGAR,EstadoTomada.OFF,
,Tomada da sala,LIGAR,EstadoTomada.OFF,
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:34:33.944040,Tomada de tv sala,ligar,EstadoTomada.OFF,EstadoTomada.ON
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:36:03.131781,Tomada de tv sala,ligar,EstadoTomada.OFF,EstadoTomada.ON
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:47:58.007631,Tomada de tv sala,ligar,EstadoTomada.OFF,EstadoTomada.ON
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:51:14.508581,Tomada de tv sala,ligar,EstadoTomada.OFF,EstadoTomada.ON
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:52:12.710521,Tomada de tv sala,ligar,EstadoTomada.ON,EstadoTomada.OFF
,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:52:59.560479,Tomada de tv sala,ligar,EstadoTomada.ON,EstadoTomada.OFF
2025-09-15 22:53:45.596431,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-15 22:53:45.600739,Tomada de tv sala,ligar,EstadoTomada.ON,EstadoTomada.OFF
2025-09-15 23:15:14.255903,Porta da Frente,destrancar,EstadoPorta.TRANCADA,EstadoPorta.DESTRANCADA
2025-09-15 23:15:14.256904,Porta da Frente,abrir,EstadoPorta.DESTRANCADA,EstadoPorta.ABERTA
2025-09-15 23:15:14.259909,Porta da Frente,trancar,EstadoPorta.ABERTA,EstadoPorta.ABERTA
2025-09-15 23:16:35.464063,Porta da Frente,destrancar,EstadoPorta.TRANCADA,EstadoPorta.DESTRANCADA
2025-09-15 23:16:35.479819,Porta da Frente,abrir,EstadoPorta.DESTRANCADA,EstadoPorta.ABERTA
2025-09-15 23:16:35.479819,Porta da Frente,trancar,EstadoPorta.ABERTA,EstadoPorta.ABERTA
2025-09-15 23:16:35.479819,Porta da Frente,fechar,EstadoPorta.ABERTA,EstadoPorta.DESTRANCADA
2025-09-15 23:16:35.479819,Porta da Frente,trancar,EstadoPorta.DESTRANCADA,EstadoPorta.TRANCADA
2025-09-16 11:35:11.243897,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:35:11.245343,Sala,fechar,ABERTA,FECHADA
2025-09-16 11:35:11.246410,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:37:18.653478,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:37:18.654401,Sala,fechar,ABERTA,FECHADA
2025-09-16 11:37:18.655124,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:40:35.882282,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:40:35.883253,Sala,fechar,ABERTA,FECHADA
2025-09-16 11:40:35.884258,Sala,abrir,FECHADA,ABERTA
2025-09-16 11:40:35.885129,Sala,abrir,LuminosidadePersiana.ESCURA,CLARO
2025-09-16 11:40:35.885129,Sala,abrir,LuminosidadePersiana.CLARO,ESCURA
2025-09-16 12:45:49.440255,Luz da sala,ligar,EstadoLuz.OFF,EstadoLuz.ON
2025-09-16 12:45:49.441354,Luz da sala,BRILHO ALTERADO,40,80
2025-09-16 12:45:49.441354,Luz da sala,COR ALTERADA,CorLuz.FRIA,NEUTRA
2025-09-16 12:45:49.441354,Luz da sala,BRILHO ALTERADO,80,75
2025-09-16 12:45:49.441354,Luz da sala,COR ALTERADA,CorLuz.NEUTRA,QUENTE
2025-09-16 12:45:49.444328,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-16 12:45:54.916817,Porta da Frente,destrancar,EstadoPorta.TRANCADA,EstadoPorta.DESTRANCADA
2025-09-16 12:45:54.917712,Porta da Frente,abrir,EstadoPorta.DESTRANCADA,EstadoPorta.ABERTA
2025-09-16 12:45:54.918504,Porta da Frente,trancar,EstadoPorta.ABERTA,EstadoPorta.ABERTA
2025-09-16 12:45:54.919493,Porta da Frente,fechar,EstadoPorta.ABERTA,EstadoPorta.DESTRANCADA
2025-09-16 12:45:54.920370,Porta da Frente,trancar,EstadoPorta.DESTRANCADA,EstadoPorta.TRANCADA
2025-09-16 12:45:59.804449,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-16 12:45:59.826545,Tomada de tv sala,ligar,EstadoTomada.ON,EstadoTomada.OFF
2025-09-16 12:50:52.372552,Sala,abrir,FECHADA,ABERTA
2025-09-16 12:50:52.373734,Sala,fechar,ABERTA,FECHADA
2025-09-16 12:50:52.374717,Sala,abrir,FECHADA,ABERTA
2025-09-16 12:50:52.375453,Sala,abrir,LuminosidadePersiana.ESCURA,CLARO
2025-09-16 12:50:52.375453,Sala,abrir,LuminosidadePersiana.CLARO,ESCURA
,,,,
2025-09-16T13:37:44.447891,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T13:37:44.448829,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.449906,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.450893,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.452206,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.453674,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.454960,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.456040,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.457331,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.458514,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.460330,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.461370,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.444226,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T13:38:43.444917,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.445812,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.446464,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.447474,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.448234,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.449241,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
